NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:0090559	REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:0090559	Details ...	44	-0.65082633	-1.8223515	0.0	1.0	0.719	1410	tags=30%, list=8%, signal=32%	
REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY%GOBP%GO:0046902	REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY%GOBP%GO:0046902	Details ...	36	-0.67516446	-1.7875081	0.0017793594	1.0	0.888	1410	tags=31%, list=8%, signal=33%	
FLK2 FLT3%IOB%FLK2 FLT3	FLK2 FLT3%IOB%FLK2 FLT3	Details ...	17	-0.7800504	-1.7660797	0.0	1.0	0.955	2238	tags=53%, list=13%, signal=61%	
PID_KIT_PATHWAY%MSIGDB_C2%PID_KIT_PATHWAY	PID_KIT_PATHWAY%MSIGDB_C2%PID_KIT_PATHWAY	Details ...	39	-0.64914656	-1.7558091	0.0018691589	0.97770077	0.976	1815	tags=38%, list=11%, signal=43%	
GLYCOSYL COMPOUND CATABOLIC PROCESS%GOBP%GO:1901658	GLYCOSYL COMPOUND CATABOLIC PROCESS%GOBP%GO:1901658	Details ...	22	-0.7267418	-1.7548416	0.005628518	0.7971976	0.978	1326	tags=41%, list=8%, signal=44%	
OXIDATIVE STRESS RESPONSE%WIKIPATHWAYS_20220310%WP408%HOMO SAPIENS	OXIDATIVE STRESS RESPONSE%WIKIPATHWAYS_20220310%WP408%HOMO SAPIENS	Details ...	17	-0.7628624	-1.73274	0.005444646	0.92781717	0.993	1868	tags=41%, list=11%, signal=46%	
NEGATIVE REGULATION OF CELLULAR CARBOHYDRATE METABOLIC PROCESS%GOBP%GO:0010677	NEGATIVE REGULATION OF CELLULAR CARBOHYDRATE METABOLIC PROCESS%GOBP%GO:0010677	Details ...	25	-0.68478966	-1.7300531	0.0055658626	0.82984847	0.995	1860	tags=44%, list=11%, signal=49%	
CREB1 PHOSPHORYLATION THROUGH NMDA RECEPTOR-MEDIATED ACTIVATION OF RAS SIGNALING%REACTOME%R-HSA-442742.3	CREB1 PHOSPHORYLATION THROUGH NMDA RECEPTOR-MEDIATED ACTIVATION OF RAS SIGNALING%REACTOME%R-HSA-442742.3	Details ...	21	-0.704361	-1.727315	0.0073394496	0.7521809	0.996	1990	tags=52%, list=12%, signal=59%	
POSITIVE REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY%GOBP%GO:0035794	POSITIVE REGULATION OF MITOCHONDRIAL MEMBRANE PERMEABILITY%GOBP%GO:0035794	Details ...	22	-0.691548	-1.6993831	0.009242144	0.9841894	1.0	1861	tags=41%, list=11%, signal=46%	
NEGATIVE REGULATION OF CARBOHYDRATE METABOLIC PROCESS%GOBP%GO:0045912	NEGATIVE REGULATION OF CARBOHYDRATE METABOLIC PROCESS%GOBP%GO:0045912	Details ...	28	-0.6743821	-1.6960047	0.010948905	0.92711097	1.0	1860	tags=43%, list=11%, signal=48%	
CELL REDOX HOMEOSTASIS%GOBP%GO:0045454	CELL REDOX HOMEOSTASIS%GOBP%GO:0045454	Details ...	33	-0.6269629	-1.6645492	0.0017301039	1.0	1.0	2432	tags=39%, list=14%, signal=46%	
NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3	NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3	Details ...	26	-0.66174513	-1.6620697	0.0058708414	1.0	1.0	1888	tags=42%, list=11%, signal=48%	
L-AMINO ACID TRANSPORT%GOBP%GO:0015807	L-AMINO ACID TRANSPORT%GOBP%GO:0015807	Details ...	28	-0.64898455	-1.6576887	0.010507881	1.0	1.0	2096	tags=39%, list=12%, signal=45%	
HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.3	HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.3	Details ...	23	-0.6657968	-1.6532215	0.0070422534	1.0	1.0	703	tags=26%, list=4%, signal=27%	
NEGATIVE REGULATION OF NEURON PROJECTION DEVELOPMENT%GOBP%GO:0010977	NEGATIVE REGULATION OF NEURON PROJECTION DEVELOPMENT%GOBP%GO:0010977	Details ...	58	-0.5631105	-1.6489154	0.0074211503	1.0	1.0	801	tags=21%, list=5%, signal=22%	
POSITIVE REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:1905710	POSITIVE REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:1905710	Details ...	24	-0.6717759	-1.6462929	0.008960574	1.0	1.0	1861	tags=38%, list=11%, signal=42%	
PROTEIN DEALKYLATION%GOBP%GO:0008214	PROTEIN DEALKYLATION%GOBP%GO:0008214	Details ...	26	-0.6505609	-1.6367666	0.0054545454	1.0	1.0	826	tags=27%, list=5%, signal=28%	
PROTEIN DEMETHYLATION%GOBP%GO:0006482	PROTEIN DEMETHYLATION%GOBP%GO:0006482	Details ...	26	-0.6505609	-1.6344653	0.009057971	1.0	1.0	826	tags=27%, list=5%, signal=28%	
GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 79%202433	GENERATION OF SECOND MESSENGER MOLECULES%REACTOME DATABASE ID RELEASE 79%202433	Details ...	17	-0.71464664	-1.6306511	0.011320755	1.0	1.0	892	tags=29%, list=5%, signal=31%	
REGULATION OF MITOCHONDRIAL OUTER MEMBRANE PERMEABILIZATION INVOLVED IN APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1901028	REGULATION OF MITOCHONDRIAL OUTER MEMBRANE PERMEABILIZATION INVOLVED IN APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1901028	Details ...	17	-0.70445853	-1.615271	0.011741683	1.0	1.0	1383	tags=41%, list=8%, signal=45%	
REGULATION OF MEMBRANE DEPOLARIZATION%GOBP%GO:0003254	REGULATION OF MEMBRANE DEPOLARIZATION%GOBP%GO:0003254		18	-0.69618595	-1.6109164	0.010619469	1.0	1.0	1466	tags=39%, list=9%, signal=43%	
HISTONE DEMETHYLATION%GOBP%GO:0016577	HISTONE DEMETHYLATION%GOBP%GO:0016577		23	-0.6531259	-1.5960915	0.011363637	1.0	1.0	703	tags=26%, list=4%, signal=27%	
NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1	NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1		17	-0.71796024	-1.5952907	0.016423358	1.0	1.0	1741	tags=47%, list=10%, signal=52%	
L-ALPHA-AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:1902475	L-ALPHA-AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:1902475		26	-0.63292867	-1.5919263	0.02819549	1.0	1.0	2096	tags=38%, list=12%, signal=44%	
TYROBP CAUSAL NETWORK IN MICROGLIA%WIKIPATHWAYS_20220310%WP3945%HOMO SAPIENS	TYROBP CAUSAL NETWORK IN MICROGLIA%WIKIPATHWAYS_20220310%WP3945%HOMO SAPIENS		42	-0.58368933	-1.5902648	0.010889292	1.0	1.0	2240	tags=43%, list=13%, signal=49%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY%MSIGDB_C2%HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY%MSIGDB_C2%HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		32	-0.6034008	-1.5825983	0.019927537	1.0	1.0	494	tags=22%, list=3%, signal=22%	
REGULATION OF AXONOGENESIS%GOBP%GO:0050770	REGULATION OF AXONOGENESIS%GOBP%GO:0050770		68	-0.52924573	-1.5815694	0.0054744524	1.0	1.0	1761	tags=28%, list=10%, signal=31%	
FIBRIN COMPLEMENT RECEPTOR 3 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP4136%HOMO SAPIENS	FIBRIN COMPLEMENT RECEPTOR 3 SIGNALING PATHWAY%WIKIPATHWAYS_20220310%WP4136%HOMO SAPIENS		25	-0.6381027	-1.5795908	0.018552875	1.0	1.0	3073	tags=40%, list=18%, signal=49%	
NEGATIVE REGULATION OF FGFR2 SIGNALING%REACTOME DATABASE ID RELEASE 79%5654727	NEGATIVE REGULATION OF FGFR2 SIGNALING%REACTOME DATABASE ID RELEASE 79%5654727		18	-0.66594625	-1.5725745	0.021052632	1.0	1.0	1712	tags=44%, list=10%, signal=49%	
DEMETHYLATION%GOBP%GO:0070988	DEMETHYLATION%GOBP%GO:0070988		45	-0.56594664	-1.5658615	0.014625229	1.0	1.0	948	tags=22%, list=6%, signal=23%	
FOXO-MEDIATED TRANSCRIPTION OF CELL DEATH GENES%REACTOME%R-HSA-9614657.1	FOXO-MEDIATED TRANSCRIPTION OF CELL DEATH GENES%REACTOME%R-HSA-9614657.1		15	-0.6905922	-1.5620735	0.034026466	1.0	1.0	2128	tags=53%, list=13%, signal=61%	
CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS%GOBP%GO:0035924	CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS%GOBP%GO:0035924		30	-0.5921747	-1.5577034	0.019607844	1.0	1.0	3025	tags=50%, list=18%, signal=61%	
HEXOSE METABOLIC PROCESS%GOBP%GO:0019318	HEXOSE METABOLIC PROCESS%GOBP%GO:0019318		64	-0.5205197	-1.5530742	0.01590106	1.0	1.0	1606	tags=23%, list=9%, signal=26%	
SEMAPHORIN-PLEXIN SIGNALING PATHWAY%GOBP%GO:0071526	SEMAPHORIN-PLEXIN SIGNALING PATHWAY%GOBP%GO:0071526		28	-0.6016709	-1.5464272	0.022018349	1.0	1.0	818	tags=25%, list=5%, signal=26%	
G-CSF%IOB%G-CSF	G-CSF%IOB%G-CSF		35	-0.5832016	-1.5461166	0.016453382	1.0	1.0	1972	tags=34%, list=12%, signal=39%	
RESPONSE TO AMINO ACID STARVATION%GOBP%GO:1990928	RESPONSE TO AMINO ACID STARVATION%GOBP%GO:1990928		41	-0.563214	-1.5460683	0.01858736	1.0	1.0	2833	tags=51%, list=17%, signal=61%	
POSITIVE REGULATION OF EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0030858	POSITIVE REGULATION OF EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0030858		25	-0.6182157	-1.5460488	0.033771105	1.0	1.0	2365	tags=40%, list=14%, signal=46%	
CELLULAR RESPONSE TO AMINO ACID STARVATION%GOBP%GO:0034198	CELLULAR RESPONSE TO AMINO ACID STARVATION%GOBP%GO:0034198		40	-0.5703157	-1.5447389	0.01431127	1.0	1.0	2833	tags=52%, list=17%, signal=63%	
SUDDEN INFANT DEATH SYNDROME (SIDS) SUSCEPTIBILITY PATHWAYS%WIKIPATHWAYS_20220310%WP706%HOMO SAPIENS	SUDDEN INFANT DEATH SYNDROME (SIDS) SUSCEPTIBILITY PATHWAYS%WIKIPATHWAYS_20220310%WP706%HOMO SAPIENS		69	-0.514197	-1.5422214	0.007380074	1.0	1.0	2120	tags=36%, list=12%, signal=41%	
DOPAMINE NEUROTRANSMITTER RELEASE CYCLE%REACTOME DATABASE ID RELEASE 79%212676	DOPAMINE NEUROTRANSMITTER RELEASE CYCLE%REACTOME DATABASE ID RELEASE 79%212676		16	-0.6882425	-1.5364404	0.021818181	1.0	1.0	1563	tags=38%, list=9%, signal=41%	
NEGATIVE REGULATION OF FGFR1 SIGNALING%REACTOME%R-HSA-5654726.2	NEGATIVE REGULATION OF FGFR1 SIGNALING%REACTOME%R-HSA-5654726.2		17	-0.67461437	-1.5344653	0.0415879	1.0	1.0	3550	tags=65%, list=21%, signal=82%	
PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523	PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523		34	-0.58833027	-1.5324242	0.016245488	1.0	1.0	1707	tags=29%, list=10%, signal=33%	
DOUBLE-STRAND BREAK REPAIR VIA NONHOMOLOGOUS END JOINING%GOBP%GO:0006303	DOUBLE-STRAND BREAK REPAIR VIA NONHOMOLOGOUS END JOINING%GOBP%GO:0006303		40	-0.56170535	-1.5324099	0.021352313	1.0	1.0	1029	tags=23%, list=6%, signal=24%	
BIOCARTA_BAD_PATHWAY%MSIGDB_C2%BIOCARTA_BAD_PATHWAY	BIOCARTA_BAD_PATHWAY%MSIGDB_C2%BIOCARTA_BAD_PATHWAY		15	-0.6872754	-1.5301633	0.034416825	1.0	1.0	2170	tags=53%, list=13%, signal=61%	
REGULATION OF CELLULAR RESPIRATION%GOBP%GO:0043457	REGULATION OF CELLULAR RESPIRATION%GOBP%GO:0043457		28	-0.59871435	-1.5277094	0.02247191	1.0	1.0	3168	tags=46%, list=19%, signal=57%	
MELANOMA%WIKIPATHWAYS_20220310%WP4685%HOMO SAPIENS	MELANOMA%WIKIPATHWAYS_20220310%WP4685%HOMO SAPIENS		45	-0.5405259	-1.526963	0.028248588	1.0	1.0	2977	tags=47%, list=18%, signal=56%	
SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)	SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)		48	-0.5406193	-1.5220749	0.010695187	1.0	1.0	2170	tags=35%, list=13%, signal=40%	
HISTONE LYSINE DEMETHYLATION%GOBP%GO:0070076	HISTONE LYSINE DEMETHYLATION%GOBP%GO:0070076		22	-0.62661624	-1.5164165	0.025408348	1.0	1.0	703	tags=23%, list=4%, signal=24%	
MITOCHONDRIAL MEMBRANE ORGANIZATION%GOBP%GO:0007006	MITOCHONDRIAL MEMBRANE ORGANIZATION%GOBP%GO:0007006		84	-0.48781234	-1.5123265	0.0054945056	1.0	1.0	1900	tags=21%, list=11%, signal=24%	
NUCLEOTIDE-SUGAR METABOLIC PROCESS%GOBP%GO:0009225	NUCLEOTIDE-SUGAR METABOLIC PROCESS%GOBP%GO:0009225		26	-0.5882925	-1.5101995	0.04291045	1.0	1.0	1935	tags=35%, list=11%, signal=39%	
PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20220310%WP3844%HOMO SAPIENS	PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20220310%WP3844%HOMO SAPIENS		21	-0.6263766	-1.5095521	0.040145986	1.0	1.0	2170	tags=38%, list=13%, signal=44%	
CELLULAR DETOXIFICATION%GOBP%GO:1990748	CELLULAR DETOXIFICATION%GOBP%GO:1990748		23	-0.61309946	-1.5072503	0.033868093	1.0	1.0	3112	tags=52%, list=18%, signal=64%	
CELL-SUBSTRATE JUNCTION ASSEMBLY%GOBP%GO:0007044	CELL-SUBSTRATE JUNCTION ASSEMBLY%GOBP%GO:0007044		23	-0.6161513	-1.5067824	0.036259543	1.0	1.0	1065	tags=35%, list=6%, signal=37%	
HALLMARK_MTORC1_SIGNALING%MSIGDB_C2%HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING%MSIGDB_C2%HALLMARK_MTORC1_SIGNALING		137	-0.45732215	-1.505492	0.007017544	1.0	1.0	2941	tags=39%, list=17%, signal=47%	
REGULATION OF CARBOHYDRATE BIOSYNTHETIC PROCESS%GOBP%GO:0043255	REGULATION OF CARBOHYDRATE BIOSYNTHETIC PROCESS%GOBP%GO:0043255		51	-0.52472734	-1.502886	0.026132405	1.0	1.0	2473	tags=31%, list=15%, signal=37%	
